student_id,product,skill,level,class_id
L2311796232,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L2311796232,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L2311796355,【e-text】English Advantage Foundation,General English,Level 0,1738
L2311796356,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2311796668,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2311796668,【e-text】English Advantage Foundation,General English,Level 0,1738
L2311797116,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2311797116,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2311797198,【e-text】English Advantage Foundation,General English,Level 0,1738
L2311797412,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2311797415,【e-text】English Advantage Foundation,General English,Level 0,1738
L2312797757,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2312798155,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312798609,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312798609,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2312798862,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312799096,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312799096,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2312799096,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2312799118,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2312799118,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2312799136,【e-text】English Advantage Foundation,General English,Level 0,1738
L2312799343,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2312799343,【e-text】English Advantage Foundation,General English,Level 0,1738
L2312799344,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2312800441,【e-text】English Advantage Foundation,General English,Level 0,1738
L2312800502,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2312800600,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312800600,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2312800600,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2312800972,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
