student_id,product,skill,level,class_id
L1912460214,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1912460214,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1912460214,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1912461125,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1912461125,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L2001463452,【販売停止】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2001463452,【販売停止】English Advantage Foundation,General English,Level 0,1738
L2001463452,【販売停止】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2001463469,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2001463469,【e-text】English Advantage Foundation,General English,Level 0,1738
L2001463885,【販売停止】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2001463885,【販売停止】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2001463885,【販売停止】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L2001465568,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2001465568,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2001465805,【販売停止】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2001465805,【販売停止】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2001465805,【販売停止】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2001465805,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2001465805,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2001465808,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2001469337,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2001469337,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2001469337,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L2001469337,English Advantage 演習 5回,General English,Level 0,1738
L2001469523,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2001469700,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2001469700,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2001469700,【販売停止】【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2001469700,【販売停止】【e-text】English Advantage Foundation,General English,Level 0,1738
L2002470173,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2002470173,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2002470173,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2002474897,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2002474897,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2002474897,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2002474897,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L2002475287,English Advantage 演習 1回,General English,Level 0,1738
L2002475287,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2002475287,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L2003478567,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2003478567,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2003478567,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2003481066,【販売停止】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
