,student_id,cefr_rate,passed_count,failed_count,attempts_count,pass_score,total_problems_given
0,6,0.0,0.0,0.0,1.0,,15
1,7,0.0,25.0,108.0,1.0909090909090908,12.726363636363637,493
2,9,0.0,25.0,133.0,1.2173913043478262,17.178,426
3,10,0.0,10.0,23.0,1.064516129032258,17.098000000000003,454
4,60,0.0,0.0,0.0,1.0,,93
5,61,0.0,0.0,0.0,1.0,,67
6,74,0.0,38.0,153.0,1.108695652173913,16.142,648
7,145,0.0,0.0,0.0,1.0,,154
8,146,0.0,0.0,0.0,1.0,,20
9,147,0.0,25.0,50.0,1.0,54.879999999999995,411
10,148,0.0,33.0,638.0,1.1304347826086956,9.535,2732
11,153,91.67000000000003,1.0,9.0,1.0,10.0,10
12,154,29.169999999999995,1.0,8.0,1.0,11.11,9
13,155,0.0,4.0,61.0,1.0909090909090908,12.0825,95
14,229,0.0,8.0,22.0,1.1,16.875,138
15,235,0.0,0.0,1.0,1.0,,8
16,239,0.0,5.0,45.0,1.0303030303030303,12.1425,272
17,250,0.0,37.0,420.0,1.935483870967742,17.243333333333336,480
18,251,0.0,36.0,399.0,2.7,11.029,507
19,252,0.0,21.0,466.0,2.135135135135135,12.25,593
20,253,0.0,61.0,209.0,2.1739130434782608,18.171176470588236,397
21,254,82.96969700294406,11.0,409.0,2.111111111111111,10.991428571428571,417
22,260,0.0,0.0,0.0,1.0,,12
23,267,0.0,62.0,375.0,1.6024096385542168,,798
24,270,0.0,5.0,81.0,1.3571428571428572,25.415,130
25,288,0.0,4.0,12.0,1.6666666666666667,22.5,29
26,289,53.578868014458735,0.0,7.0,1.0,,12
27,294,0.0,5.0,97.0,1.375,12.5,137
28,295,64.26070084871613,37.0,495.0,1.393939393939394,11.15235294117647,540
29,296,59.38358251625031,44.0,434.0,1.4333333333333333,14.421875,485
30,297,79.99253782378538,24.0,471.0,1.0294117647058822,9.459285714285715,502
31,298,0.0,38.0,523.0,1.1081081081081081,10.403,588
32,299,60.58850195531497,43.0,491.0,1.2352941176470589,14.363125,536
33,300,71.66075693745555,29.0,497.0,1.1470588235294117,9.998,532
34,301,53.69558737221448,55.0,434.0,1.4482758620689655,16.6925,495
35,302,58.206424908997825,46.0,463.0,1.5806451612903225,15.061875,512
36,303,73.37726910231282,1.0,56.0,5.25,5.0,64
37,304,61.98522902701527,44.0,474.0,1.393939393939394,14.268125,530
38,306,57.75684133899989,48.0,460.0,1.4516129032258065,13.335263157894737,518
39,307,51.77518868368978,45.0,433.0,1.4285714285714286,11.556666666666667,481
40,308,0.0,34.0,603.0,1.4047619047619047,10.53375,666
41,309,63.628856674352456,42.0,477.0,1.375,11.49,519
42,311,68.46122046810815,29.0,483.0,1.2727272727272727,10.126666666666667,519
43,312,52.703303320092225,54.0,535.0,1.3243243243243243,13.991999999999999,593
